"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: EXPECTED_TABLE_SIZE","Param: size"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,90843.54705173902,4082.547411358032,"ops/s","3000","1"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,58117.86491136114,120.13371792890395,"ops/s","3000","2"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,57996.36951140522,58.48210837038562,"ops/s","3000","3"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,59692.0545220894,1784.3635564650478,"ops/s","3000","4"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,57876.857857202565,113.32705860890839,"ops/s","3000","5"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,59535.04765488637,1770.6341904398494,"ops/s","3000","6"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,54825.12258075173,55.523353734161866,"ops/s","3000","7"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,57740.224700783976,34.96408767705234,"ops/s","3000","8"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,54630.113586472435,43.98722995072767,"ops/s","3000","9"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,57581.99659672579,52.281328480829494,"ops/s","3000","10"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,56719.88598377266,493.5948343708864,"ops/s","3000","20"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,59045.8628263905,131.7798513609991,"ops/s","3000","30"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,54228.14223995584,4509.988670900095,"ops/s","3000","40"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,53244.34822868231,2912.237316633488,"ops/s","3000","50"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,58929.41834805847,303.69534890116944,"ops/s","3000","60"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,52202.7290163147,1163.532200592424,"ops/s","3000","70"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,52616.001260500656,215.02118038433682,"ops/s","3000","80"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,52372.13179248538,408.53695879798244,"ops/s","3000","90"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,55953.69836887784,1646.839456193831,"ops/s","3000","100"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,52034.59707643878,981.1665313747235,"ops/s","3000","200"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,51637.827109255995,1047.4547110429637,"ops/s","3000","300"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,48793.92058202986,1233.825099681147,"ops/s","3000","400"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,46852.67198129327,1281.4726147625174,"ops/s","3000","500"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,46405.225604562525,2107.356917883608,"ops/s","3000","600"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,44052.21907789902,1893.3434332811821,"ops/s","3000","700"
"net.glease.SimpleDatabaseBenchmark.sortMergeJoin","thrpt",1,16,45609.046302950956,2522.8894331110523,"ops/s","3000","800"
